Ticker,CIK
aapl,320193
amzn,1018724
msft,789019
goog,1652044
baba,1577552
fb,1326801
tcehy,1293451
brk-a,1067983
v,1403161
wmt,104169
tsla,1318605
jnj,200406
tsm,1046179
pg,80424
ma,1141391
nvda,1045810
hd,354950
spy,884394
unh,731766
jpm,19617
vz,732712
lvmuy,824046
idcby,1445468
adbe,796343
pypl,1633917
nflx,1065280
crm,1108524
dis,1744489
intc,50863
bac,70858
cmcsa,1166691
ko,21344
mrk,310158
t,732717
pfe,78003
nvs,1114448
nke,320187
orcl,1341439
abt,1800
pep,77476
sap,1000184
tm,1094517
orcl,1341439
tmo,97745
mcd,63908
ul,217410
csco,858877
cichy,1445474
nvo,353278
un,110390
acgby,1501437
cost,909832
asml,937966
abbv,1551152
dhr,313616
lfc,1268896
amgn,318154
avgo,1730168
ups,1090727
tmus,1283699
azn,901832
xom,34088
acn,1467373
nee,753308
lly,59478
mdt,1613103
zm,1585521
unp,100885
qcom,804328
cvx,93410
bmy,14272
txn,97476
bhp,811809
cihky,1495688
chl,1117795
chtr,1091667
shop,1594805
sny,1121404
low,60667
bachy,1378999
lin,1707925
aagiy,1511634
sftby,1065521
jd,1549802
hon,773840
pm,1413329
rtntf,887028
qqq,1067839
ibm,51143
bbl,1171264
bud,1668717
amt,1053507
lmt,936468
ptr,1108329
sbux,829224
ry,1000275
amd,2488
wfc,72971
ba,12927
now,1373715
rds-a,1306965
gsk,1131399
mmm,66740
c,831001
hesay,1436949
sne,313838
rtx,101829
fis,1136893
tot,879764
blk,1364742
spgi,64040
ms,895421
intu,896878
td,947263
pdd,1737806
ppruy,1445465
hdb,1144967
axp,4962
bti,1303523
cat,18230
isrg,1035267
deo,835403
mdlz,1103982
hsbc,1089113
tgt,27419
syk,310764
sq,1512673
el,1001250
gild,882095
pld,1045609
zts,1555280
cvs,64803
cni,16868
se,1703399
chdry,1450488
rio,863064
cta-pa,30554
aiquy,1161167
mo,764180
antm,1156039
chgcy,1453934
de,315189
cci,1051470
